ID_Key值,字符串
117,好！
118,别做梦了！
119,这点本事也敢来堕落街? 哈哈哈哈哈``
120,哈哈哈哈哈!
121, 
122, 
123, 别浪费时间了,你们一起上吧!杀光了你们我还要赶路呢!
124,还真敢追过来？给我干死他！
125,组织会为我报仇的！！！
126, 兄弟们上啊!妈的竟然敢追到这里！
127,真帅呢! 让我来配他你玩儿一会儿吧~!
128,你们这帮恶棍，把小舞还给我！
129,没想到你能走到这里，但是！也就到此为止了！今日就是你的死期了。
130,混混也有礼拜堂?让我直接超度你们吧！
131,还有谁?! 都死完了么?! 
132,总有些不知死活的送上门来
133,竟敢亵渎我们神圣的组织…不可饶恕！
134,我是黯月之血继承者，去后悔你们惹火了我吧!
135,如果将一切都烧尽的话, 不就干净了么?
136,我的能力是时候完全释放了。
137,你还没有被干掉吗?
138,这就是最后的总部? 想放抗么? 真无聊!
139,哭吧,叫吧,然后就死吧! 到此为止了!
140,啊啊啊啊啊啊！谁也无法阻挡我
141,你们成功的为了自己挖好了坟墓，让我来结束这一切。
142,按住方向右键走到屏幕中光圈的位置
143,按住攻击键进行攻击
144,点击技能键释放技能
145,不断点击攻击键，可以放出更多技能招数
146,教学完成，奖励500金币
147,没有怒气是无法释放技能的哦
148,点击商城购买怒气
149,恭喜您获得10个怒气
150,敌人太多强化一下属性
151,首次免费购买
152,点击加号增强属性。本次免费
153,生命
154,攻击
155,防御
156,怒气
157,已经最高等级
158,返回
159,游戏名称:街机拳皇2014怀旧版 游戏类型:动作类 应用类型:Android 公司名称:北京摩丰科技有限公司 客服电话:15390898367 客服邮箱:service@mfplay.cn 版本号:1.0 免责申明:本游戏的版权归北京摩丰科技有限公司所有,游戏中的文字,图片 等内容均为游戏版权所有者的个人态度或立场,中国电信对此不承担任何法律 责任.
